nom;brand;tipus;ref;categoria;pvp;outlet;quantitat;venut;talles;talles_esgotades
Camisa Palmeres Verda;LOUISE MISHA;CAMISA;S0242;BABY;54.0;18.0;3;false;24M|12M|18M;
Camisa Groga;LOUISE MISHA;CAMISA;S0241;BABY;59.0;18.0;2;false;3M|6M;
Pantalo Groc;LOUISE MISHA;PANTALO;S0258;BABY;39.0;14.0;2;false;12M|18M;
Shorts Grocs / Coral;LOUISE MISHA;PANTALO;S0214;BABY;44.0;14.0;3;false;6M|9M|18M;
Panties Grocs / Coral;LOUISE MISHA;PANTALO;P0233;BABY;29.0;14.0;4;false;3M|6M|9M|12M;
Bloomer Groc;LOUISE MISHA;PANTALO;B0218;BABY;49.0;18.0;2;false;18M|24M;
Vestit Groc Romper;LOUISE MISHA;MONO;R0224;BABY;59.0;59.0;1;true;24M;24M
Blusa Flors;LOUISE MISHA;CAMISA;B0196;BABY;49.0;18.0;2;false;6M|9M;
Vestit Flors Romper;LOUISE MISHA;MONO;R0223;BABY;59.0;20.0;1;false;6M;
Vestit Flors;LOUISE MISHA;VESTIT;D0210;BABY;64.0;22.0;2;false;6M|9M;
Pantalo Palmeres Verda;LOUISE MISHA;PANTALO;B0261;BABY;39.0;14.0;3;false;3M|6M|9M;
Body Gris;LOUISE MISHA;BODY;B0251;BABY;34.0;10.0;1;false;3M;
Vestit Blanca;LOUISE MISHA;VESTIT;D0206;BABY;69.0;69.0;1;true;9M;9M
Blusa Blanca;LOUISE MISHA;CAMISA;B0197;BABY;49.0;20.0;3;false;12M|18M|24M;
Vestit Crema amb Puntilla;LOUISE MISHA;VESTIT;D0209;BABY;79.0;30.0;4;false;6M|9M|12M|24M;
Vestit Tirants Crema;LOUISE MISHA;VESTIT;D0211;BABY;64.0;64.0;1;true;24M;24M
Bloomers Flors;LOUISE MISHA;PANTALO;B0217;BABY;39.0;14.0;1;false;9M;
Vestit Groc;LOUISE MISHA;VESTIT;D0207;BABY;69.0;69.0;1;true;18M;18M
Jaqueta Tropical Palmeres Gordita;LOUISE MISHA;JAQUETA;J0266;BABY;69.0;22.0;2;false;3M|6M;
Bloomer Short Groc;LOUISE MISHA;PANTALO;B0262;BABY;39.0;39.0;1;true;24M;24M
Pantalo Short Coral;LOUISE MISHA;PANTALO;S0260;KID;44.0;16.0;1;false;4Y;
Camisa Llarga Flors;LOUISE MISHA;CAMISA;S0244;KID;54.0;28.0;1;false;6Y;
Camisa Llarga Palmera Tropical;LOUISE MISHA;CAMISA;S0243;KID;54.0;28.0;1;false;6Y;
Blusa Coral;LOUISE MISHA;CAMISA;B0198;KID;54.0;22.0;1;false;6Y;
Jaqueta Blava Palmera;LOUISE MISHA;JAQUETA;J0267;KID;74.0;32.0;1;false;6Y;
Vestit Granate;THE NEW SOCIETY;VESTIT;LUA3BABY;BABY;79.0;30.0;6;false;3M|12M|18M|6Y|8Y|10Y;
Mono Borreguito Ovella;THE NEW SOCIETY;MONO;GABRIELLEBABY;BABY;99.0;30.0;2;false;6M|9M|12M;12M
Pantalo Jogging Gris;THE NEW SOCIETY;PANTALO;HUGOGRIS;BABY;59.0;18.0;2;false;3M|6M;
Jersei Gris o Blau Crew;THE NEW SOCIETY;JERSEI;CREW;BABY;65.0;22.0;4;false;3M|6M|6Y|10Y;
Romper Flors Lila;THE NEW SOCIETY;MONO;DONNA;BABY;79.0;20.0;1;false;9M;
Camisa Ratlles Granate;THE NEW SOCIETY;CAMISA;ALEXGRANATE;BABY;45.0;18.0;5;false;3M|6M|12M|18M|24M;
Pantalo Jogging Granate;THE NEW SOCIETY;PANTALO;HUGOGRANATE;BABY;59.0;18.0;3;false;3M|6M|24M;
Romper Blau Flors Vermelles;THE NEW SOCIETY;MONO;JANE;BABY;79.0;20.0;2;false;3M|6M;
Samarreta Thai Dhai Blava;THE NEW SOCIETY;SAMARRETA;DEEPBLUE;KID;39.0;16.0;1;false;10Y;
Samarreta Sea Side of Life;THE NEW SOCIETY;SAMARRETA;BLUSH;KID;39.0;16.0;1;false;8Y;
Blusa Blau Flors Vermella;THE NEW SOCIETY;CAMISA;OLIVIA;KID;89.0;28.0;1;false;8Y;
Blusa Blau Gris Flors;THE NEW SOCIETY;CAMISA;SARAH;KID;89.0;28.0;2;false;8Y|10Y;
Vestit Tye Dye Granate;THE NEW SOCIETY;VESTIT;OLIVIADRESS;KID;98.0;40.0;3;false;4Y|6Y|8Y;
Blusa Tye Dye Granate;THE NEW SOCIETY;CAMISA;OLIVIABLUSE;KID;84.0;28.0;3;false;2Y|4Y|8Y;
Jersei Lila Caputxa;THE NEW SOCIETY;JERSEI;DORIANPLUM;KID;108.0;40.0;2;false;4Y|8Y;
Jersei Verd Crew;THE NEW SOCIETY;JERSEI;CREWKAKHI;KID;65.0;28.0;2;false;4Y|10Y;
Shorts Texans;THE NEW SOCIETY;PANTALO;LOLA;KID;98.0;35.0;2;false;4Y|8Y;
Pantalo Chandal Llarg Granate;THE NEW SOCIETY;PANTALO;HUGOPANTLILA;KID;85.0;35.0;4;false;2Y|4Y|6Y|8Y;
Pantalo Pana Malva;THE NEW SOCIETY;PANTALO;MOTTPANT;KID;94.0;35.0;1;false;6Y;
Pantalo Yoggi Caqui;THE NEW SOCIETY;PANTALO;PARISPANTS;KID;75.0;28.0;1;false;10Y;
Pantalo Tejano Acampanat Blau;THE NEW SOCIETY;PANTALO;HOSIEPANTS;KID;82.0;35.0;1;false;6Y;
Pantalo Curt Chandal Beige;THE NEW SOCIETY;PANTALO;HUGOBEIGE;KID;54.0;22.0;1;false;8Y;
Cardigan Ratlles Vermell Rosa;TINY COTTONS;JERSEI;REF62;BABY;88.0;22.0;3;false;9M|12M|18M;
Cardigan Ratlles Vermell Marro;TINY COTTONS;JERSEI;E73;BABY;68.0;22.0;3;false;6M|12M|18M;
